work_ID,trait_value,agreement,coeff_var,n,references
1,0.8,,,1,10342
130,0.25,,,1,10342
374,0.3,,,1,10342
395,0.5,,,1,10342
417,0.4,,,1,10342
430,0.7,,0.236,2,"10342,23"
433,9,,,1,23
664,0.9,,,1,10353
689,0.8,,,1,10353
867,3.5,,,1,10353
870,0.6,,,1,10353
892,1.1,,,1,10342
921,0.63,,,1,10342
922,0.7,,0,2,10342
924,0.8,,,1,10342
925,1,,0.08,4,10342
926,1,,,1,10342
927,1,,,1,10342
928,0.75,,,1,10342
929,0.9,,,1,10342
930,0.8,,,1,10342
935,1,,,1,10342
936,0.7,,,1,10342
938,0.9,,,1,10342
939,0.9,,,1,10342
940,0.9,,,1,10342
941,0.7,,0,2,10342
942,0.5,,,1,10342
943,1,,,1,10342
944,0.9,,,1,10342
945,0.7,,,1,10342
946,0.6,,,1,10342
947,0.9,,,1,10342
948,0.6,,,1,10342
951,0.8,,,1,10342
952,1,,0,2,10342
953,1.2,,,1,10342
954,1.1,,,1,10342
1028,5,,,1,10342
1056,9,,,1,10342
1077,7,,,1,10342
1094,8,,,1,10342
1115,0.6,,,1,10353
1185,1.3,,0.424,2,"10342,10353"
1197,3.5,,,1,10342
1210,0.23,,,1,10342
1212,0.25,,,1,10342
1260,0.22,,,1,10342
1283,0.6,,,1,10342
1284,0.4,,,1,10342
1287,0.7,,,1,10342
1289,0.6,,,1,10342
1290,0.55,,,1,10342
1291,0.6,,,1,10342
1292,0.6,,,1,10342
1293,0.8,,0,2,10342
1307,0.4,,,1,10342
1323,0.24,,,1,10342
1327,0.32,,,1,10342
1342,2,,,1,10342
1381,0.8,,,1,23
1395,6,,,1,10342
1450,0.6,,,1,10342
1507,0.55,,,1,10342
1516,0.7,,,1,10342
1546,1.2,,,1,10342
1548,1.1,,,1,10342
1553,0.6,,,1,10342
1562,0.82,,,1,10342
1564,0.3,,,1,10342
1570,0.82,,,1,10342
1585,0.35,,,1,10342
1671,4,,,1,10342
1685,3,,,1,10342
1690,0.26,,,1,10342
1693,0.6,,,1,10342
1754,5,,,1,10342
1816,0.5,,,1,10342
1870,0.3,,,1,10342
1924,0.1,,,1,10342
1928,0.25,,,1,10342
1929,0.2,,,1,10342
1935,0.3,,,1,10342
1940,0.2,,,1,10342
1941,0.25,,,1,10342
1946,0.25,,,1,10342
1951,0.3,,,1,10342
1959,0.16,,,1,10342
2148,1.4,,,1,10342
2161,2,,,1,10342
2194,0.8,,,1,10342
2209,0.8,,,1,10353
2216,0.25,,,1,10342
2229,0.9,,,1,10342
2307,0.1,,,1,10342
2315,30,,,1,10353
2417,3,,,1,10353
2506,0.3,,,1,10342
2516,1.2,,,1,10342
2545,0.2,,,1,10342
2549,0.25,,,1,10342
2638,4.5,,,1,10342
2720,0.05,,,1,10342
2785,1.3,,,1,10342
2789,0.3,,,1,10342
2791,1.4,,,1,10342
2797,0.4,,,1,10342
2892,1,,,1,10342
2896,0.25,,,1,10353
3081,0.4,,0.202,2,10342
3107,3,,,1,10342
3108,2.5,,,1,10342
3129,1.5,,0,6,10342
3130,3.8,,,1,10342
3131,2,,,1,10342
3132,2.4,,,1,10342
3134,1.4,,,1,10342
3135,1.2,,,1,10342
3136,2.2,,,1,10342
3137,3,,0.51,7,10342
3138,1.4,,,1,10342
3140,2.1,,,1,10342
3141,1.7,,,1,10342
3142,2,,,1,10342
3144,2.5,,,1,10342
3146,2,,,1,10342
3147,1,,,1,10342
3148,1.3,,,1,10342
3150,2.2,,,1,10342
3151,1.5,,,1,10342
3161,1.5,,,1,10342
3198,6,,,1,10342
3202,1,,,1,10342
3314,0.6,,,1,10342
3375,0.8,,,1,10342
3554,1.1,,,1,10342
3603,2,,0.471,2,"10342,23"
3620,1,,,1,10342
3624,0.45,,,1,10342
3628,0.4,,,1,10353
3630,0.4,,,1,10342
3631,0.35,,,1,10342
3633,0.4,,,1,10342
3635,0.35,,,1,10342
3636,0.4,,,1,10342
3642,0.4,,,1,10342
3647,0.7,,,1,10342
3686,1.25,,,1,10342
3689,2,,,1,10342
3691,0.75,,,1,10342
4056,1.2,,,1,10342
4057,1.3,,,1,10342
4058,2.1,,,1,10342
4059,2.3,,,1,10342
4119,1.1,,,1,10342
4264,2,,,1,10342
4310,0.3,,,1,10342
4371,7,,,1,10342
4372,8,,,1,10342
4384,2.5,,,1,10342
4385,2,,,1,10342
4386,2,,,1,10342
4389,4,,,1,10342
4390,1.7,,,1,10342
4494,2,,,1,23
4673,1.5,,,1,23
4737,0.25,,,1,10342
4952,0.5,,,1,10353
4956,2.4,,,1,10342
4963,0.85,,,1,10342
4988,0.6,,,1,10342
5097,2.5,,,1,10342
5163,0.1,,,1,10342
5192,1.5,,,1,10342
5205,5,,,1,10353
5440,0.07,,,1,23
5749,1.2,,,1,10342
5753,1.1,,,1,10342
5793,2,,,1,10353
5808,1,,,1,10353
5810,1.5,,,1,10353
5811,1.2,,,1,10342
5812,2.5,,0.157,2,"10342,10353"
5815,0.5,,,1,10353
5831,5,,,1,10353
5862,1.2,,,1,10353
5873,0.8,,,1,10342
5874,0.42,,,1,10342
5875,0.35,,,1,10342
5911,1.1,,0.223,2,10342
5917,1.7,,,1,10342
5918,0.65,,,1,10342
5928,2.6,,,1,10342
5929,1.5,,,1,10342
5935,2,,,1,10342
5936,1.5,,,1,10342
5959,0.2,,,1,10353
5960,0.3,,,1,10353
5962,25,,,1,10342
5972,3,,,1,10353
6068,0.45,,,1,10342
6415,0.45,,,1,10342
6417,0.75,,,1,10342
6418,0.4,,,1,10342
6419,0.6,,,1,10342
6421,0.6,,,1,10342
6503,1,,,1,10342
6950,0.4,,,1,10342
6952,2.5,,,1,10342
6955,0.35,,,1,10342
6998,2.5,,,1,10353
7142,6,,,1,23
7412,4.5,,,1,10342
7475,2.3,,,1,10342
7477,0.5,,,1,10342
7527,2,,,1,10342
7553,0.6,,,1,10342
7602,1.8,,,1,23
7653,3.5,,,1,10342
7699,0.35,,,1,10342
7732,1,,,1,10342
7744,1.15,,0.413,2,10342
7755,0.8,,,1,10342
7759,0.5,,,1,10342
7760,1.2,,,1,10342
7819,2,,,1,10342
7878,0.4,,,1,10342
8042,0.4,,,1,10342
8270,5.5,,,1,10342
8273,4.5,,,1,10342
8284,0.9,,,1,10342
8471,0.6,,,1,10342
8489,2.4,,,1,10342
8505,0.25,,,1,10342
8575,2.4,,,1,10342
8581,2,,,1,23
8722,2,,,1,10342
8726,2,,,1,10342
8727,1.9,,,1,10342
8880,1.6,,,1,10342
8895,0.5,,,1,10342
8968,4,,0.094,2,10342
9026,4,,,1,10353
9097,2.5,,,1,10342
9263,3,,,1,10342
9268,2.2,,,1,10342
9283,1.2,,,1,10342
9340,1.8,,,1,10353
9342,1,,,1,10353
9347,4,,,1,10353
9438,0.3,,,1,10342
9613,0.5,,,1,10353
9624,0.5,,,1,10353
9641,0.4,,,1,10353
9644,0.4,,,1,10353
9697,5,,,1,10342
9744,6,,,1,10342
9750,2,,,1,10342
9755,1.4,,,1,10342
9760,1.4,,,1,10342
9761,0.3,,,1,10342
9803,1,,,1,10342
9809,0.3,,,1,10342
9907,5,,,1,10353
9915,2,,0,2,10353
9920,4,,,1,10353
9932,2,,0,2,10353
9945,5,,,1,10353
9953,11,,0.519,4,10353
9956,3.5,,,1,10353
9958,2,,0,2,10353
9971,7,,,1,10353
9972,3,,0,3,10353
10140,1.5,,,1,10342
10447,0.8,,,1,10342
10529,0.2,,,1,23
10608,0.5,,,1,10342
10614,0.6,,,1,10342
10691,0.15,,,1,10342
10738,4,,,1,10342
10742,2.5,,,1,10342
10744,1.8,,,1,10342
10746,1,,,1,10342
10752,1,,,1,10342
10753,1.5,,,1,10342
10755,2,,0.225,3,10342
10776,1.2,,0,2,10342
10783,0.2,,,1,10342
11017,0.4,,,1,23
11046,0.8,,,1,23
11085,0.4,,,1,10342
11151,1.5,,,1,10342
11200,2,,,1,10353
11202,1.6,,,1,10353
11264,3.5,,,1,10342
11309,0.8,,,1,10353
11318,0.8,,0.094,2,10353
11327,0.7,,,1,10353
11328,0.6,,,1,10353
11329,0.5,,,1,10353
11330,0.7,,,1,10353
11356,1,,,1,10353
11360,0.8,,0.326,2,10353
11361,0.7,,,1,10353
11362,0.8,,,1,10353
11363,0.8,,,1,10353
11372,0.6,,,1,10353
11374,1,,,1,10353
11396,3,,,1,10342
11407,0.4,,,1,10342
11409,0.7,,,1,10342
11411,0.25,,,1,10342
11417,0.5,,,1,10342
11421,0.6,,,1,10342
11422,0.5,,,1,10342
11425,0.3,,,1,10342
11460,0.08,,,1,10342
11479,0.6,,,1,10342
11483,0.7,,,1,10342
11494,0.15,,,1,10342
11502,0.8,,,1,10342
11518,1.5,,,1,10353
11588,1.1,,,1,10342
11595,0.8,,,1,10342
11619,0.9,,,1,10342
11758,2,,,1,23
11760,2.4,,,1,23
11768,2.7,,,1,23
11981,0.3,,,1,10353
12231,0.5,,,1,10342
12287,0.58,,,1,10342
12289,0.65,,,1,10342
12636,3,,,1,10342
12701,0.72,,,1,10342
12756,0.25,,,1,10342
12772,0.7,,,1,10342
12823,0.6,,,1,10342
12824,0.3,,,1,10342
12827,0.16,,,1,10342
12840,0.7,,,1,10342
12874,0.25,,,1,10342
12876,0.39,,,1,10342
12887,0.1,,,1,10342
12917,0.25,,,1,10342
12926,0.25,,,1,10342
12964,0.43,,,1,10342
13048,3.5,,,1,23
13091,1.8,,,1,23
13094,5,,0,5,23
13109,1.3,,,1,23
13118,3.5,,,1,23
13124,2.5,,,1,23
13192,2.3,,,1,10342
13199,2.5,,,1,10342
13225,0.4,,1.1,2,10342
13416,0.4,,,1,10342
13468,16.5,,,1,10342
13472,9.5,,,1,10342
13477,0.08,,,1,10342
13517,0.2,,,1,10353
13592,2,,,1,10342
13972,0.6,,,1,10342
13974,0.6,,,1,10342
13977,0.4,,,1,10342
13978,0.65,,,1,10342
13980,0.4,,,1,10342
14127,2.5,,,1,10353
14162,0.2,,,1,10342
14178,0.2,,,1,10342
14183,0.18,,,1,10342
14295,5,,,1,10342
14304,0.37,,,1,10342
14334,0.3,,,1,10342
14340,9,,,1,23
14359,20,,,1,10353
14362,3,,,1,10353
14367,12,,,1,10353
14730,0.8,,,1,10342
14733,1.2,,,1,10342
14746,8,,,1,10342
14858,1.2,,,1,10342
15052,1.1,,,1,10342
15114,1.2,,,1,10342
15119,0.4,,,1,10342
15337,0.6,,,1,10353
15710,1.5,,,1,10342
15716,1.5,,,1,10342
15718,1.5,,,1,10342
15719,1.5,,,1,10342
15720,1.5,,,1,10342
15723,1.4,,,1,10342
15724,2,,,1,10342
15726,1.2,,,1,10342
15727,2.5,,,1,10342
15732,1,,,1,10342
15734,1.5,,,1,10342
15735,1,,,1,10342
15736,3,,,1,10342
15738,1.2,,,1,10342
15741,0.8,,,1,10342
15742,0.8,,,1,10342
15743,2.5,,,1,10342
15744,1.1,,1.075,2,10342
15745,1,,,1,10342
15748,1,,,1,10342
15749,1.4,,,1,10342
15750,0.25,,,1,10342
15784,2.2,,,1,10342
16161,0.4,,,1,10342
16171,0.5,,,1,10342
16209,0.35,,,1,10342
16229,0.5,,,1,10342
16260,1.2,,,1,10342
16381,0.2,,,1,10342
16524,1.8,,,1,10342
16535,0.3,,,1,10342
16552,1.8,,,1,10342
