Lvl1,Category,Lvl2,Trait1,Lvl3,Trait2,Units,type,comment,count
1,Morphology,1.1,Woodiness,1.1.1,Woodiness_1,"woody, non-woody, variable",categorical,,249169
1,Morphology,1.10,Shoot length,1.10.1,Shoot_length_min,cm,numeric,prostrate and erect,123
1,Morphology,1.10,Shoot length,1.10.2,Shoot_length_max,cm,numeric,prostrate and erect,2227
1,Morphology,1.2,Growth form,1.2.1,Growth_form_1,"herb, shrub, tree, other",categorical,Combinations possible (e.g. herb/shrub).,222598
1,Morphology,1.2,Growth form,1.2.2,Growth_form_2,"herb, graminoid, forb, subshrub, shrub, tree, palm, other",categorical,Combinations possible (e.g. herb/subshrub).,178879
1,Morphology,1.3,Epiphyte,1.3.1,Epiphyte_1,"obligatory, facultative, terrestrial",categorical,,203585
1,Morphology,1.3,Epiphyte,1.3.2,Epiphyte_2,"holoepiphyte, hemiepiphyte, prim_hemiepiphyte, sec_hemiepiphyte, facultative, terrestrial",categorical,,76021
1,Morphology,1.4,Climber,1.4.1,Climber_1,"obligatory, facultative, self-supporting",categorical,,222257
1,Morphology,1.4,Climber,1.4.2,Climber_2,"liana, vine, self-supporting",categorical,"lianas are woody, vines are non-woody",96574
1,Morphology,1.5,Parasite,1.5.1,Parasite_1,"obligatory, facultative, independent",categorical,,204251
1,Morphology,1.6,Plant height,1.6.1,Plant_height_min,m,numeric,,43353
1,Morphology,1.6,Plant height,1.6.2,Plant_height_max,m,numeric,,70367
1,Morphology,1.6,Plant height,1.6.3,Plant_height_mean,m,numeric,,23219
1,Morphology,1.7,Aquatic,1.7.1,Aquatic_1,"aquatic, semiaquatic, terrestrial",categorical,,154480
1,Morphology,1.8,DBH,1.8.1,DBH_min,cm,numeric,,1
1,Morphology,1.8,DBH,1.8.2,DBH_max,cm,numeric,,1892
1,Morphology,1.9,Shoot orientation,1.9.1,Shoot_orientation,"prostrate, scandent, rambling, erect, pendant, ascending",categorical,Combinations possible (e.g. decumbent = prostrate/ascending); prostrate incl. creeping and procumbent,3732
2,Life history,2.1,Lifecycle,2.1.1,Lifecycle_1,"annual, biennial, perennial, variable",categorical,Combinations possible,190286
2,Life history,2.2,Lifespan,2.2.1,Lifespan_1,years,numeric,,60
2,Life history,2.3,Life form,2.3.1,Life_form_1,"phanerophyte, chamaephyte, hemicryptophyte, cryptophyte, therophyte",categorical,"Combinations possible (e.g. hemicryptophyte/therophyte). Note that cryptophytes encompass geophytes, hydrophytes and helophytes. ",100390
2,Life history,2.3,Life form,2.3.2,Life_form_2,"nanophanerophyte, phanerophyte, chamaephyte, hemicryptophyte, geophyte, hydrophyte, helophyte, therophyte, lithophyte",categorical,Combinations possible (e.g. hemicryptophyte/therophyte); Lithophytes include Chasmophytes here,111531
2,Life history,2.4,Deciduousness,2.4.1,Deciduousness_1,"deciduous, evergreen, variable",categorical,,9985
3,Reproduction,3.1,Self fertilization,3.1.1,Self_fertilization_1,"present, absent",categorical,,3650
3,Reproduction,3.10,Seed length,3.10.1,Seed_length_min,mm,numeric,,2569
3,Reproduction,3.10,Seed length,3.10.2,Seed_length_max,mm,numeric,,2764
3,Reproduction,3.10,Seed length,3.10.3,Seed_length_mean,mm,numeric,,1838
3,Reproduction,3.11,Seed width,3.11.1,Seed_width_min,mm,numeric,,760
3,Reproduction,3.11,Seed width,3.11.2,Seed_width_max,mm,numeric,,981
3,Reproduction,3.11,Seed width,3.11.3,Seed_width_mean,mm,numeric,,571
3,Reproduction,3.12,Seed height,3.12.1,Seed_height_min,mm,numeric,,7
3,Reproduction,3.12,Seed height,3.12.2,Seed_height_max,mm,numeric,,148
3,Reproduction,3.13,Fruit length,3.13.1,Fruit_length_min,cm,numeric,,10239
3,Reproduction,3.13,Fruit length,3.13.2,Fruit_length_max,cm,numeric,,10499
3,Reproduction,3.13,Fruit length,3.13.3,Fruit_length_mean,cm,numeric,,11332
3,Reproduction,3.14,Fruit width,3.14.1,Fruit_width_min,cm,numeric,,6036
3,Reproduction,3.14,Fruit width,3.14.2,Fruit_width_max,cm,numeric,,6198
3,Reproduction,3.14,Fruit width,3.14.3,Fruit_width_mean,cm,numeric,,7229
3,Reproduction,3.15,Fruit height,3.15.1,Fruit_height_min,cm,numeric,,54
3,Reproduction,3.15,Fruit height,3.15.2,Fruit_height_max,cm,numeric,,54
3,Reproduction,3.15,Fruit height,3.15.3,Fruit_height_mean,cm,numeric,,54
3,Reproduction,3.16,Fruit type,3.16.1,Fruit_type_1,"achene, baccate, berry, capsule, drupe, follicle, lomentum, nut, pod, pome, schizocarp, siliqua, utricle, anthocarp, cone, other",categorical,,6567
3,Reproduction,3.17,Dehiscence,3.17.1,Dehiscence_1,"dehiscent, indehiscent",categorical,,6027
3,Reproduction,3.18,Fruit dryness,3.18.1,Fruit_dryness_1,"dry, fleshy",categorical,,2578
